Name,Description,Latitude,Longitude
Harvard Hall Front Door,,42.37473089,-71.118218
Point A GREEN,,42.37381235,-71.1186034
Point B GREEN,,42.37366875,-71.11722601
Common End Point,,42.37411895,-71.1176378
Harvard Hall Back Door,,42.37493384,-71.11817156
Point A BLUE,,42.37536694,-71.11748137
Point B BLUE,,42.37464027,-71.11791007
Common End Point,,42.37411895,-71.1176378
Harvard Hall Front Door,,42.37473089,-71.118218
Point A ORANGE,,42.37360438,-71.1170953
Point B ORANGE,,42.3738372,-71.11809142
Common End Point,,42.37411895,-71.1176378
Harvard Hall Back Door,,42.37493384,-71.11817156
Point A PINK,,42.37550886,-71.11785214
Point B PINK,,42.37477527,-71.11766354
Common End Point,,42.37411895,-71.1176378
Harvard Hall Back Door,,42.37493384,-71.11817156
Point A YELLOW,,42.37532969,-71.11709993
Point B YELLOW,,42.37473459,-71.11699491
Common End Point,,42.37411895,-71.1176378
